тема,тип вопроса,условие,варианты ответа,ответ,класс
рынки,4,"В городе N располагается единственный театр, зрительный зал которого способен вместить 400 человек. Изначально спрос на театральные представления описывался уравнением Qd = 900 − p, где Q –– количество проданных билетов, p –– цена билета. В условиях пандемии театру разрешили работать только при заполненности зала не более чем на 50 %. Кроме того, в связи с пандемией спрос жителей на театральные представления снизился до Qd = 360 − p. Театр максимизирует выручку. На сколько процентов театру следует снизить цену в условиях пандемии по сравнению с ситуацией до пандемии?",---------,64,10
рынки,4,"В малой открытой экономике спрос и предложение на рынке некоторого товара определяются как Qd = 60 − p и Qs= 0,5p. Мировая цена равна 20 д.е.; кроме того, в стране введена потоварная импортная пошлина в размере 4 д.е. с каждой ввозимой в страну единицы товара. Чему равна в сложившихся условиях точечная эластичность объема импорта по пошлине?  (В ответе укажите саму эластичность, а не ее модуль.)",---------,-0.25,10
рынок труда,4,"Некая фирма использует в производстве только труд. Фирма продает товар на совершенно конкурентном рынке по цене 20; производственная функция фирмы имеет вид Q = L. На рынке труда фирма является монопсонистом. Труд предлагают две группы работников –– мужчины и женщины. Предложение труда мужчин имеет вид Ls = W, а предложение труда женщин –– вид Ls = 8 + W. Изначально фирма назначает разную зарплату для мужчин и женщин. На сколько процентов уменьшится зарплата мужчин, если государство запретит дискриминацию и обяжет платить всем работникам одинаковую зарплату",---------,20,10
кпв,4,"Робинзон и Пятница собирают кокосы (X) и ловят крокодилов (Y). Из них они готовят блюдо Крококосбургер, для приготовления которого требуется 2 кокоса и 1 крокодил (по отдельности блага не потребляются). Известно, что КПВ каждого из островитян линейна, а их суммарная КПВ является ломаной линией, соединяющей точки (0; 120), (80; 80) и (120; 0). При оптимальном разделении труда Робинзон занимается только одним видом деятельности. Сколько Крококосбургеров сможет потребить Робинзон, если все ингредиенты он будет добывать сам?",---------,20,10
кпв,1,"В настоящий момент в экономике производится 11 единиц товара X; использо вание ресурсов полное и эффективное. Альтернативная стоимость единицы товара X
 постоянна и составляет 0,5 единицы товара Y. Значит, ради производства дополни тельных 4 единиц товара Y придётся отказаться от 8 единиц товара X.","1) да, 2) нет",1),11
другое,1,Все экономические исследования предполагают рациональность агентов.,"1) да, 2) нет",2),11
AD AS,1,Коэффициент Оукена равен 0 если ВВП достигает потенциального уровня,"1) да, 2) нет",2),11
рынки,1,"Ключевая ставка центрального банка России (ЦБ РФ) - это ставка процента, которую ЦБ РФ начисляет на обязательные резервы коммерческих банков, размещенные в нем","1) да, 2) нет",2),11
анализ данных,1,"Одно исследование показало, что люди, прошедшие после увольнения программы повышения квалификации, в среднем зарабатывают больше, чем те, кто их не проходил. Из этого можно сделать вывод о том, что прохождение программ повышения квалификации увеличивает зарплату работников","1) да, 2) нет",2),11
нобелевская премия,2,2020 году лауреатами Нобелевской премии по экономике (Премии Шведского государственного банка по экономическим наукам памяти А. Нобеля) стали Пол Милгром и Роберт Уилсон. За какие заслуги была присуждена премия?,1) разработка оптимального дизайна выборов и голосований; 2) оценка многомерной КПВ мира; 3) анализ эффективности мер по борьбе с коррупцией; 4) усовершенствование теории аукционов.,4),11
неравенство,2,"В некоторой стране кривая Лоренца имеет вид у = х^3 . Каково соотношение доходов беднейшей трети, «средней» трети, и богатейшей трети населения?",1) 1:7:19; 2) 1:8:27; 3) 1:7:100; 4) 1:8:100.,1),11
монетарная политика,2,При какой смешанной политике государства точно повысится ставка процента на денежном рынке?,"1) Стимулирующая монетарная, стимулирующая фискальная; 2)тимулирующая монетарная, сдерживающая фискальная; 3) Сдерживающая монетарная, стимулирующая фискальная; 4) Сдерживающая монетарная, сдежривающая фискальная ",3),11
AD AS,2,"В некой стране в 2020 году госбюджет сведён с дефицитом 2 млн $, а частные сбережения меньше инвестиций на 5 млн $. Резервы центробанка остались неизменными. Тогда в данной стране в 2020 году имел место:",1) Чистый приток капитала в размере 3 млн $; 2) Чистый отток капитала в размере 3 млн $; 3) Чистый приток капитала в размере 7 млн $; 4) Чистый отток капитала в размере 7 млн $,3),11
издержки,2,редельные издержки некой фирмы задаются уравнением MC = 2Q; выпуск фирмы может быть только целым числом. Чему равна величина AVC(2020) –– средние переменные издержки при производстве 2020 единиц товара?,1) 2019; 2) 2020; 3) 2021; 4) 4040.,3),11
финансы,3,Что не является производным финансовым инструментом (деривативом),1) опцион; 2) форвард; 3) фьючерс; 4) государственная облигация,4),11
совершенная конкуренция,3,Рассмотрим совершенно конкурентный рынок с функциями спроса и предложения соответственно Qd = 90 − P и Qs= P/2. На рынке вводится потоварный налог на производителей по ставке t (0; 90). Что из перечисленного верно?,"1) Равновесный выпуск сократится;
 2) При ставке налога t< 45 выпуск сократится менее чем в два раза;
 3) Налоговое бремя потребителей будет меньше бремени производителей;
 4) Расходы потребителей могут увеличиться.","1), 2), 3)",11
кпв,3,"Какой вид может иметь КПВ страны, если в случае выхода на мировой рынок в качестве малой открытой экономики ее КТВ (кривая торговых возможностей) определяется как у= 40 − 2х? Считайте, что международная торговля абсолютно свободна, т.е. происходит без таможенных пошлин, издержек на транспортировку и т.д.",1) у = 48 - 4х; 2) y = 40 - 4x; 3) y = 20 - x; 4) y= 16 - x,"2), 3)",11
рынки,3,"Облигации фирм А и B имеют одинаковый положительный номинал; облигация
фирмы А имеет срок погашения через год, фирмы B –– через 2 года от данного момента. Облигация фирмы B также предусматривает выплату купонного дохода в размере
10 % от номинала в конце каждого из двух годов. Ставка дисконтирования (в долях)
равна r. Обозначим за Pa и Pb цены этих облигаций. Что из перечисленного верно","1) Pa < Pb, так как сумма выплат по облигации b больше;
2) Pa > Pb при достаточно высоких значениях r;
3) Если r > 0,2, то Pa > Pb;
4) Если Pa > Pb, то r > 0,2.
","2), 4)",11
заводы,3,"Две фирмы, производящие один и тот же товар, решили объединиться. Известно, что до слияния функция издержек фирмы 1 задавалась уравнением TC1 (q) = q^2 , фирмы 2 — уравнением TC2 (q) = 6q + 49, если Q > 0 и 0 иначе. Обозначим выпуск объединенной компании за Q. Что из перечисленного верно о функции издержек TC(Q) объединенной фирмы?","1) TC(Q) <= Q^2 для любого Q>= 0; 2) TC(5) = 70;
 3)TC(20) = 160; 4) TC(Q) <= 10Q для любого Q>= 0","1), 3), 4)",11
рынки,4,"Изначально спрос на «Лекарство №1» описывался уравнением Qd = 100−p. После начала пандемии в городе прошли слухи, что этот препарат помогает бороться с вирусом нового типа, после чего спрос на данный препарат вырос до Qd = 200 −p, где p –– цена за одну пачку препарата, Q –– дневной объем спроса на препарат (в пачках). Предложение описывается функцией Qs = p, оно не поменялось. Мэрия города стала опасаться, что в сложившейся ситуации лекарство станет недоступно для широких масс населения, в связи с чем запретила повышать цену на препарат по сравнению с равновесной ценой до пандемии. Однако данная мера привела к возникновению дефицита препарата. Чему равен размер этого дефицита в пачках?",---------,100,11
рынки,4,"В городе N располагается единственный театр, зрительный зал которого способен вместить 400 человек. Изначально спрос на театральные представления описывался уравнением Qd = 900 − p, где Q –– количество проданных билетов, p –– цена билета. В условиях пандемии театру разрешили работать только при заполненности зала не более чем на 50 %. Кроме того, в связи с пандемией спрос жителей на театральные представления снизился до Qd = 360 − p. Театр максимизирует выручку. На сколько процентов театру следует снизить цену в условиях пандемии по сравнению с ситуацией до пандемии?",---------,64,11
рынки,4,"В малой открытой экономике спрос и предложение на рынке некоторого товара определяются как Qd = 60 − p и Qs= 0,5p. Мировая цена равна 20 д.е.; кроме того, в стране введена потоварная импортная пошлина в размере 4 д.е. с каждой ввозимой в страну единицы товара. Чему равна в сложившихся условиях точечная эластичность объема импорта по пошлине?  (В ответе укажите саму эластичность, а не ее модуль.)",---------,-0.25,11
рынок труда,4,"Некая фирма использует в производстве только труд. Фирма продает товар на совершенно конкурентном рынке по цене 20; производственная функция фирмы имеет вид Q = L. На рынке труда фирма является монопсонистом. Труд предлагают две группы работников –– мужчины и женщины. Предложение труда мужчин имеет вид Ls = W, а предложение труда женщин –– вид Ls = 8 + W. Изначально фирма назначает разную зарплату для мужчин и женщин. На сколько процентов уменьшится зарплата мужчин, если государство запретит дискриминацию и обяжет платить всем работникам одинаковую зарплату",---------,20,11
финансы,4,"Центральный банк покупает у коммерческих банков облигации на сумму 300 д.е.; Полученные этой операцией деньги банки полностью выдают в кредит. В экономике нет наличных денег, норма обязательных резервов равна 10 % а норма избыточных резервов равна 5%. На сколько д.е вырастет в результате денежная масса? ",---------,2000,11
кпв,,,,,9
кпв,,,,,9
неравенство,,,,,9
монополия,,,,,9
анализ данных,,,,,9
нобелевская премия,,,,,9
гос вмешательство,,,,,9
ввп и инфляция,,,,,9
олигополия,,,,,9
издержки,,,,,9
издержки,,,,,9
совершенная конкуренция,,,,,9
рынки,,,,,9
кпв,,,,,9
потребительский выбор,,,,,9
кпв,,,,,9
монополия,,,,,9
финансы,,,,,9
рынок труда,,,,,9
заводы,,,,,9
российская экономика,,,,,10
международная торговля,,,,,10
неравенство,,,,,10
монополия,,,,,10
анализ данных,,,,,10
нобелевская премия,,,,,10
гос вмешательство,,,,,10
ввп и инфляция,,,,,10
олигополия,,,,,10
издержки,,,,,10
издержки,,,,,10
совершенная конкуренция,,,,,10
рынки,,,,,10
кпв,,,,,10
потребительский выбор,,,,,10
кпв,,,,,10
монополия,,,,,10
финансы,,,,,10
рынок труда,,,,,10
заводы,,,,,10
российская экономика,,,,,11
международная торговля,,,,,11
неравенство,,,,,11
гос вмешательство,,,,,11
анализ данных,,,,,11
нобелевская премия,,,,,11
гос вмешательство,,,,,11
ввп и инфляция,,,,,11
олигополия,,,,,11
AD AS,,,,,11
рынки,,,,,11
совершенная конкуренция,,,,,11
рынки,,,,,11
кпв,,,,,11
безработица,,,,,11
кпв,,,,,11
монополия,,,,,11
финансы,,,,,11
рынок труда,,,,,11
заводы,,,,,11
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
российская экономика,1,В России действует режим фиксированного курса национальной валюты.,1) Да. 2) Нет.,2) Нет.,9
неравенство,1,"Уровень неравенства доходов до налогов обычно выше, чем после налогов",1) Да. 2) Нет.,1) Да.,9
финансы,1,"Для стабилизации финансового положения семьи ей стоит взять ипотечный кредит в иностранной валюте, а не в национальной.",1) Да. 2) Нет.,2) Нет.,9
олигополия,1,"При олигополии на рынке есть несколько фирм и они учитывают решения друг 
 друга, принимая свои решения.",1) Да. 2) Нет.,1) Да.,9
анализ данных,1,"Во время учебы в бакалавриате некоторые студенты отправляются на какое-то 
 время за границу, чтобы учиться по обмену. Предположим, исследование тысячи выпускников показало, что те из них, кто провел часть своего обучения в иностранном 
 университете по обмену, в среднем имеют бо́льшую зарплату через 10 лет после выпуска, чем те, кто всё время учился в одной стране. Можно ли из этого сделать вывод, 
 что обучение за границей помогает будущей карьере?",1) Да. 2) Нет.,2) Нет.,9
нобелевская премия,2,"За какие заслуги была присуждена Нобелевская премия по экономике (Премия 
 Шведского государственного банка по экономическим наукам памяти Альфреда Нобеля) 
 в 2019 г.?","1) Создание оптимальных схем налогообложения; 
 2) развитие поведенческой экономики; 
 3) оптимизация политики центральных банков; 
 4) экспериментальные исследования бедности и экономического неравенства.",4) экспериментальные исследования бедности и экономического неравенства.,9
рынки,2,"В городе N в 2019 году проезд в метро подорожал с 40 до 50 у.е., в результате пассажиропоток сократился на 20 % (функция спроса на поездки линейна и неизменна в течение года). Пусть P ⋆ –– цена поездки, максимизирующая выручку метрополитена города N. Что можно утверждать наверняка?","1) P
 P⋆ < 40; 2) P
 P⋆ > 50; 3) P
 P⋆ = 45; 4) ничего из перечисленного.",3),9
финансы,2,". Бескупонная облигация номиналом 125 д. е. имеет срок погашения через 2 года от текущего момента и в данный момент стоит 80 д. е. При какой годовой ставке 
 сложного процента по банковскому вкладу на нем можно заработать такой же доход, 
 как с помощью этой облигации?",1) 10 %; 2) 20 %; 3) 25 %; 4) 50 %;,3) 25 %;,9
кпв,2,"Для какой из этих КПВ альтернативные издержки производства единицы товара 
 x максимальны?",y = 1 – 5x; 2) y = 1 − x; 3) x = 100 – 25y; 4) x + 7y = 400.,темы,9
неравенство,2,"Наряду с коэффициентом Джини экономисты используют и другие меры неравенства доходов. Одной из них является децильный коэффициент –– отношение доходов 10 % богатейших к доходам 10 % беднейших. Если кривая Лоренца в стране задается уравнением y = x, то децильный коэффициент равен:",1) 1; 2) 2; 3) 10; 4) 20.,1) 1,9
издержки,3,"t в t > 1 раз, переменные издержки 
 увеличатся во столько же раз»?","1) TC1 = 2q; 2) TC2 = q^2
 ; 3) TC3 = 20q + 4; 4) TC4 = 2q + 1.",1) TC1 = 2q;,9
финансы,3,"Аяз решил открыть в небольшом городе сеть киосков с кофе навынос. Первоначальные инвестиции составят l млн руб., первые два года сеть будет приносить 
 по 2,1 млн руб. прибыли в конце каждого года, а затем, в связи с появлением конкурентов, по 1 млн руб. в год. Бизнес теоретически может существовать бесконечно. Аяз 
 также может положить деньги на депозит в банк, на котором каждый год начисляются проценты по ставке 10 % годовых (сложные проценты). При каких значениях l 
 вкладывать деньги в бизнес выгоднее, чем в банк?",1) 10; 2) 11; 3) 12; 4) 13.,1) 10; 2) 11,9
рынки,3,"Выберите верные утверждения про рынок товара X. Считайте, что функции спроса и предложения там имеют обычный вид; других изменений, кроме описанных 
 в пунктах, не происходит; Y –– товар-субтитут X, а Z –– товар-комплемент X.","1) При росте предложения Y цена на X упадет.
 2) При росте предложения Z цена на X вырастет.
 3) При росте доходов потребителей товара X цена на него упадет.
 4) Если Y –– инфериорный (малоценный) товар, то X –– также инфериорный товар.","1) При росте предложения Y цена на X упадет. 
 2) При росте предложения Z цена на X вырастет.",9
кпв,3,"Мир состоит из двух стран, в которых производятся два товара –– X и Y. В первой 
 стране КПВ описывается уравнением X +Y = 1, а во второй стране –– X +2Y = 1. Товары 
 потребляются только в некой фиксированной пропорции (возможно, разной в разных 
 странах). Изначально страны не торгуют друг с другом. После открытия торговли каждая из стран станет ценополучателем на мировом рынке, где можно будет обменять 
 одну единицу Икса на p > 0 единиц Игрека. Страна не проигрывает от торговли, если 
 потребление в ней товаров не уменьшается, и выигрывает, если потребление в ней 
 товаров увеличивается. Тогда:","1) При p≠ 1 первая страна выигрывает от торговли; 
 2) При p ≠ 2 вторая страна выигрывает от торговли; 
 3) При каждом p > 0 каждая из стран не проигрывает от торговли; 
 4) При каждом p > 0 хотя бы одна из стран выигрывает от торвголи.","1) При p ≠ 1 первая страна выигрывает от торговли;3) При каждом p > 0 каждая из стран не проигрывает от торговли; 
 4) При каждом p > 0 хотя бы одна из стран выигрывает от торвголи.",9
рынки,4,"Спрос на некий товар в континентальной Европе равен Qd = 100−P, предложение 
 равно Qs = P. Изначально Британия может экспортировать в континентальную Европу любое количество товара по цене 30. После выхода Британии из Евросоюза на британские товары в континентальной Европе начнет действовать импортная пошлина 
 в размере 20 %. На сколько процентов в результате уменьшится выручка британских 
 производителей от экспорта (за вычетом пошлины)",-,30,9
монополия,4,"Спрос на продукцию монополиста описывается уравнением Pd = 10 − Q, а общие 
 издержки –– уравнением TC(Q) = 2Q + 2. Государство устанавливает потолок цены 
 на уровне Pmax = 4. На сколько денежных единиц уменьшится прибыль монополиста 
 в результате этого решения?",-,4,9
совершенная конкуренция,4,Функция издержек фирмы на рынке совершенной конкуренции в краткосрочном периоде имеет вид 𝑇 Cq𝑞) = q^2 +q + 2020. На сколько единиц изменится оптимальный объем выпуска при росте цены с 11 до 21?,-,5,9
неравенство,4,"В стране Z кривая Лоренца определяется как y = x^2 
 . Какое значение примет коэффициент Джини, если суммарный доход беднейшей половины населения равномерно распределить между ними, а суммарный доход богатейшей половины населения 
 равномерно распределить между ними?",-,0.25,9
кпв,4,"КПВ страны описывается уравнением 2X + Y = 300. На мировом рынке можно 
 обменивать Икс на Игрек в любую сторону в пропорции две единицы Икса за одну 
 единицу Игрека. Жители потребляют Иксы и Игреки только в виде коктейлей, которые бывают двух видов: 
 (а) 1 единица Икса и 1 единица Игрека; 
 (б) только 4 единицы Икса. 
 Между коктейлями разных видов жители безразличны. Какое максимальное количество коктейлей смогут потребить жители страны?",-,200,9
российская экономика,1,В России действует режим фиксированного курса национальной валюты.,1) Да. 2) Нет.,2) Нет.,10
неравенство,1,"Уровень экономического неравенства богатства обычно выше, чем доходов.",1) Да. 2) Нет.,1) Да.,10
финансы,1,"Для стабилизации финансового положения семьи ей стоит взять ипотечный кредит в иностранной валюте, а не в национальной.",1) Да. 2) Нет.,2) Нет.,10
рынки,1,При росте числа фирм на рынке суммарная прибыль фирм не увеличивается.,1) Да. 2) Нет.,2) Нет.,10
анализ данных,1,"Во время учебы в бакалавриате некоторые студенты отправляются на какое-то 
 время за границу, чтобы учиться по обмену. Предположим, исследование тысячи выпускников показало, что те из них, кто провел часть своего обучения в иностранном 
 университете по обмену, в среднем имеют бо́льшую зарплату через 10 лет после выпуска, чем те, кто всё время учился в одной стране. Можно ли из этого сделать вывод, 
 что обучение за границей помогает будущей карьере?",1) Да. 2) Нет.,2) Нет.,10
нобелевская премия,2,За какие заслуги присуждена Нобелевская премия по экономике (Премия Шведского государственного банка по экономическим наукам памяти А. Нобеля) в 2019 г.?,"1) Создание оптимальных схем налогообложения;
 2) развитие поведенческой экономики;
 3) оптимизация политики центральных банков;
 4) экспериментальные исследования бедности и экономического неравенства.",4) экспериментальные исследования бедности и экономического неравенства,10
рынки,2,"В городе E в 2019 году проезд в метро подорожал с 28 до 32 у.е., в результате 
 пассажиропоток сократился на 10 % (функция спроса на поездки линейна и неизменна 
 в течение года). Пусть P 
 ⋆ –– цена поездки, максимизирующая выручку метрополитена 
 города E. Что можно утверждать наверняка?",1) P⋆ < 28; 2) 28 ⩽ P⋆ ⩽ 32; 3) P⋆ = 34; 4) ничего из перечисленного.,"3) P 
 ⋆ = 34;",10
финансы,2,"Бескупонная облигация номиналом 50 д. е. имеет срок погашения через 1 год 
 от текущего момента и в данный момент торгуется по цене 40 д. е. Сколько стоила бы 
 такая облигация, если бы до срока погашения оставалось 2 года?",1) 25 д. е.; 2) 30 д. е.; 3) 32 д. е.; 4) 36 д. е.,3) 32 д. е.;,10
кпв,2,Для какой КПВ альтернативные издержки строго возрастают?,"1) y = 1 − 0,5x; 2) y = 1 − 0,5x^2
 ; 3) y = 1 – 2x; 4) y = 1 − 2√x.","2) y = 1 − 0,5x^2
 ;",10
неравенство,2,"Наряду с коэффициентом Джини экономисты используют и другие меры неравенства доходов. Одной из них является децильный коэффициент –– отношение доходов 10 % богатейших к доходам 10 % беднейших. Если кривая Лоренца в стране задается уравнением 𝑦 = 𝑥2 
 , то децильный коэффициент равен:",1) 9; 2) 10; 3) 19; 4) 20.,3) 19;,10
издержки,3,"Для каких производственных функций верно следующее утверждение: «если 
 увеличить количество факторов производства K и L в t > 1 раз, выпуск увеличится 
 во столько же раз»?","1) q1 = KL; 2) q2 = 𝐾 + 2𝐿; 3) q3 = (KL)^0.5; 4) q4 = (K^2+L^2)^2
 .",2) q2 = K + 2L; 3) q3 = (KL)^0.5; 4) 𝑞4 = (K^2+L^2)^2,10
финансы,3,"Аяз решил открыть в небольшом городе сеть киосков с кофе навынос. Первоначальные инвестиции составят l млн руб., первые два года сеть будет приносить 
 по 3,2 млн руб. прибыли в конце каждого года, а затем, в связи с появлением конкурентов, по 1 млн руб. в год. Бизнес теоретически может существовать бесконечно. Аяз 
 также может положить деньги на депозит в банк, на котором каждый год начисляются проценты по ставке 10 % годовых (сложные проценты). При каких значениях l 
 вкладывать деньги в бизнес выгоднее, чем в банк?",1) 11; 2) 12; 3) 13; 4) 14.,1) 11; 2) 12; 3) 13;,10
рынки,3,"Спрос на продукцию монополиста описывается уравнением Pd = 10−5Q 
 , а общие 
 издержки –– уравнением TC(Q) = Q^2 +Q + 1. Пусть Q* –– оптимальный выпуск данной 
 фирмы. Выберите утверждения, которые верны при Q=Q* 
 .","1) Эластичность спроса по цене по модулю больше единицы. 
 2) Эластичность выручки по цене отрицательна. 
 3) Эластичность средних переменных издержек по выпуску меньше единицы. 
 4) Эластичность постоянных издержек по выпуску не больше, чем эластичность переменных издержек по выпуску.","1) Эластичность спроса по цене по модулю больше единицы. 
 2) Эластичность выручки по цене отрицательна. 
 3) Эластичность средних переменных издержек по выпуску меньше единицы. 
 4) Эластичность постоянных издержек по выпуску не больше, чем эластичность переменных издержек по выпуску.",10
кпв,3,". Мир состоит из двух стран, в которых производятся два товара –– X и Y. В первой 
 стране КПВ описывается уравнением 𝑋 +𝑌 = 1, а во второй стране –– X +2Y = 1. Товары 
 потребляются только в некой фиксированной пропорции (возможно, разной в разных 
 странах). Изначально страны не торгуют друг с другом. После открытия торговли каждая из стран станет ценополучателем на мировом рынке, где можно будет обменять 
 одну единицу Икса на P > 0 единиц Игрека. Страна не проигрывает от торговли, если 
 потребление в ней товаров не уменьшается, и выигрывает, если потребление в ней 
 товаров увеличивается. Тогда:","1) При P ≠ 1 первая страна выигрывает от торговли; 
 2) При P ≠ 2 вторая страна выигрывает от торговли; 
 3) При каждом P > 0 каждая из стран не проигрывает от торговли; 
 4) При каждом P > 0 хотя бы одна из стран выигрывает от торговли.",1) При P ≠ 1 первая страна выигрывает от торговли;3) При каждом P > 0 каждая из стран не проигрывает от торговли; 4) При каждом P > 0 хотя бы одна из стран выигрывает от торговли,10
рынки,4,"Спрос на некий товар в континентальной Европе равен Qd = 100−P, предложение 
 равно Qs = P. Изначально Британия может экспортировать в континентальную Европу любое количество товара по цене 30. После выхода Британии из Евросоюза на британские товары в континентальной Европе начнет действовать импортная пошлина 
 в размере 20 %. На сколько процентов в результате уменьшится выручка британских 
 производителей от экспорта (за вычетом пошлины)?",-,30,10
монополия,4,"Фирма-монополист работает на рынке с функцией спроса P = 20 − Q и сама доставляет товар потребителям. Изначально предельные издержки, включая издержки 
 на доставку, постоянны и равны 10. Фирма рассматривает возможность приобретения 
 парка беспилотников (дронов); поскольку доставка беспилотниками быстрее и удобнее для потребителей, спрос вырастет до P = 25 − Q, при этом предельные издержки 
 сократятся до 7 за счет снижения затрат на доставку. Какую максимальную сумму готова фирма заплатить за парк беспилотников?",-,56,10
совершенная конкуренция,4,"Функция издержек фирмы на рынке совершенной конкуренции в краткосрочном периоде имеет вид
 TC(q) = 2019, q = 0;
 TC=q^2 + q + 2020, q > 0.
 На сколько единиц изменится оптимальный объем выпуска при росте цены с 1 до 2?",-,0,10
неравенство,4,"В стране Z кривая Лоренца определяется как y = x^3 
 . Какое значение примет коэффициент Джини, если суммарный доход беднейшей половины населения равномерно распределить между ними, а суммарный доход богатейшей половины населения 
 равномерно распределить между ними?",-,"0,375.",10
издержки,4,"Вы проводите сравнительный анализ производительности фирм, для чего перед вами стоит задача оценки производственных функций. Про некую фирму вам 
 известно, что она закупает единственный фактор производства –– труд –– на рынке совершенной конкуренции и продает свой товар на рынке совершенной конкуренции 
 по цене 2. Вы знаете также, что производственная функция фирмы Q(L) описывается 
 возрастающим участком квадратичной параболы с ветвями вниз (при L > Lвершины 
 выпуск такой же, какой и в вершине этой параболы) и что Q(0) = 0. Наконец, вы 
 наблюдаете спрос фирмы на труд: Ld(w) = 100 − w. Определите среднюю производительность труда при L = 60",-,35,10
российская экономика,1,В России действует режим фиксированного курса национальной валюты.,1) Да. 2) Нет.,2) Нет.,11
неравенство,1,"Уровень экономического неравенства богатства обычно выше, чем доходов.",1) Да. 2) Нет.,1) Да.,11
финансы,1,"Для стабилизации финансового положения семьи ей стоит взять ипотечный кредит в иностранной валюте, а не в национальной.",1) Да. 2) Нет.,2) Нет.,11
рынки,1,При росте числа фирм на рынке суммарная прибыль фирм не увеличивается.,1) Да. 2) Нет.,2) Нет.,11
анализ данных,1,"Во время учебы в бакалавриате некоторые студенты отправляются на какое-то 
 время за границу, чтобы учиться по обмену. Предположим, исследование тысячи выпускников показало, что те из них, кто провел часть своего обучения в иностранном 
 университете по обмену, в среднем имеют бо́льшую зарплату через 10 лет после выпуска, чем те, кто всё время учился в одной стране. Можно ли из этого сделать вывод, 
 что обучение за границей помогает будущей карьере?",1) Да. 2) Нет.,2) Нет.,11
нобелевская премия,2,За какие заслуги присуждена Нобелевская премия по экономике (Премия Шведского государственного банка по экономическим наукам памяти А. Нобеля) в 2019 г.?,"1) Создание оптимальных схем налогообложения;
 2) развитие поведенческой экономики;
 3) оптимизация политики центральных банков;
 4) экспериментальные исследования бедности и экономического неравенства.",4) экспериментальные исследования бедности и экономического неравенства,11
рынки,2,"В городе E в 2019 году проезд в метро подорожал с 28 до 32 у.е., в результате 
 пассажиропоток сократился на 10 % (функция спроса на поездки линейна и неизменна 
 в течение года). Пусть E ⋆ –– цена поездки, максимизирующая выручку метрополитена 
 города E. Что можно утверждать наверняка?",1) P⋆ < 28; 2) 28 ⩽ P⋆ ⩽ 32; 3) P⋆ = 34; 4) ничего из перечисленного.,3) P ⋆ = 34;,11
финансы,2,". Бескупонная облигация номиналом 50 д. е. имеет срок погашения через 1 год 
 от текущего момента и в данный момент торгуется по цене 40 д. е. Сколько стоила бы 
 такая облигация, если бы до срока погашения оставалось 2 года?",1) 25 д. е.; 2) 30 д. е.; 3) 32 д. е.; 4) 36 д. е.,3) 32 д. е.;,11
кпв,2,Для какой КПВ альтернативные издержки строго возрастают?,"1) y = 1 − 0,5x; 2) y = 1 − 0,5x^2
 ; 3) y = 1 – 2x; 4) y = 1 − 2√x.","2) y = 1 − 0,5x^2
 ;",1
неравенство,2,"Наряду с коэффициентом Джини экономисты используют и другие меры неравенства доходов. Одной из них является децильный коэффициент –– отношение доходов 10 % богатейших к доходам 10 % беднейших. Если кривая Лоренца в стране задается уравнением y = x^2 
 , то децильный коэффициент равен:",1) 9; 2) 10; 3) 19; 4) 20.,3) 19;,11
издержки,3,"Для каких производственных функций верно следующее утверждение: «если 
 увеличить количество факторов производства K и L в t > 1 раз, выпуск увеличится 
 во столько же раз»?","1) q1 = KL; 2) q2 = K + 2L; 3) q3 = (KL)^0.5; 4) q4 = (K^2+L^2)^2
 .",2) q2 = K + 2L; 3) q3 = (KL)^0.5; 4) q4 = (K^2+L^2)^2,11
финансы,3,"Аяз решил открыть в небольшом городе сеть киосков с кофе навынос. Первоначальные инвестиции составят l млн руб., первые два года сеть будет приносить 
 по 3,2 млн руб. прибыли в конце каждого года, а затем, в связи с появлением конкурентов, по 1 млн руб. в год. Бизнес теоретически может существовать бесконечно. Аяз 
 также может положить деньги на депозит в банк, на котором каждый год начисляются проценты по ставке 10 % годовых (сложные проценты). При каких значениях l 
 вкладывать деньги в бизнес выгоднее, чем в банк?",1) 11; 2) 12; 3) 13; 4) 14.,1) 11; 2) 12; 3) 13;,11
